OBJECTID;Anlage;Baumnummer;Gattung_Dt;Gattung_Lat;Pflanzdatum;X;Y;Lon;Lat
8100;Sillinsel;7;Kuchenbaum;Cercidiphyllum japonicum;11.06.2015;81114,9639999997;237029,1898;11,404888816;47,2671231960001
8101;Sillinsel;13;Kuchenbaum;Cercidiphyllum japonicum;11.06.2015;81155,2072999999;237106,417300001;11,4054344910001;47,2678127520001
8102;Sillmündung - Lodenareal;65;Gefülltblühende Vogelkirsche;Prunus avium 'Plena';14.04.2016;82110,2597000003;238200,878599999;11,4182532410001;47,2775368810001
8103;Sillmündung - Lodenareal;68;Gefülltblühende Vogelkirsche;Prunus avium 'Plena';14.04.2016;82092,3970999997;238201,1109;11,4180172410001;47,277541199
8104;Sillmündung - Lodenareal;72;Gefülltblühende Vogelkirsche;Prunus avium 'Plena';14.04.2016;82057,6409;238195,5452;11,4175569390001;47,2774954820001
8105;Reichenauerpark;9;Japanische Nelkenkirsche;Prunus serrulata 'Kanzan';30.03.2017;82495,9299999997;238011,843;11,4233147990001;47,2757886320001
8106;Premstraße24,26+Schullernstraße 5;2;Bergahorn;Acer pseudoplatanus;;82129,7927999999;236226,7531;11,4181494570001;47,2597809690001
8107;Premstraße24,26+Schullernstraße 5;3;Japanischer Schnurbaum;Sophora japonica;15.10.2014;82136,1788999997;236220,409299999;11,4182326550001;47,2597231220001
8108;Premstraße24,26+Schullernstraße 5;4;Amberbaum;Liquidambar styraciflua;15.10.2014;82114,5214;236179,4461;11,4179390560001;47,2593574370001
8109;Premstraße24,26+Schullernstraße 5;5;Amberbaum;Liquidambar styraciflua;15.10.2014;82134,3000999996;236186,4903;11,41820162;47,2594183190001
8110;Premstraße24,26+Schullernstraße 5;6;Amberbaum;Liquidambar styraciflua;15.10.2014;82138,2958000004;236187,983100001;11,418254677;47,2594312460001
8111;Premstraße24,26+Schullernstraße 5;8;Amberbaum;Liquidambar styraciflua;15.10.2014;82216,0394000001;236215,4593;11,4192866980001;47,2596686380001
8112;Prinz-Eugen-Straße;27;Stadtlinde;Tilia cordata 'Greenspire';14.04.2016;81822,9051000001;237623,3879;11,4143505220001;47,272379255
8113;Grünbacher-Promenade;369;Sandbirke;Betula pendula;;84031,6500000004;237372,859999999;11,443487674;47,2698479270001
8114;Grünbacher-Promenade;370;Sandbirke;Betula pendula;;84037,7999999998;237369,51;11,4435683010001;47,269817016
8115;Grünbacher-Promenade;371;Eschenahorn;Acer negundo;;84042,0099999998;237366,050000001;11,443623276;47,2697853620001
8116;Grünbacher-Promenade;39;Bergulme;Ulmus glabra;;83139,3700000001;237855,42;11,4317881000001;47,2743009320001
8117;Grünbacher-Promenade;43;Trauerweide;Salix alba 'Tristis';;83160,7400000002;237848,539999999;11,4320691950001;47,274236359
8118;Mittelschule Pembaurstraße;37;Zuckerahorn;Acer saccharum;;81495,5539999995;237317,116;11,4099694750001;47,2696655380001
8119;Hans-Maier-Straße;3;Spitzahorn;Acer platanoides;01.01.1996;82747,5099999998;238236,83;11,4266807260001;47,277780362
8120;Arthur-Haidl-Promenade;89;Bergahorn;Acer pseudoplatanus;;79364,7609999999;236571,27;11,3816841930001;47,263218377
8121;Arthur-Haidl-Promenade - Spiel- und Sportanlage;102;Bergahorn;Acer pseudoplatanus;;79349,0750000002;236560,796;11,381475111;47,263126072
8122;Kurpark - Igls;475;Föhre;Pinus sylvestris;;81725,4000000004;232849,869999999;11,4121922350001;47,229462513
8123;Grabenweg;7;Ungarische Eiche;Quercus frainetto;19.11.2014;83034,1025;236796,544299999;11,430200879;47,2647917050001
8124;Huttererpark - Spiel- und Sportanlage;20;Ginkgo;Ginkgo biloba;23.11.2017;80813,4779000003;238264,394200001;11,401128477;47,2782686300001
8125;Hans-Flöckinger-Promenade;59;Scheinakazie;Robinia pseudoacacia;;78521,6390000004;235471,753;11,3703531310001;47,253431252
8126;Innrain - Ost - Busterminal;32;Spitzahorn;Acer platanoides;;79817,8399999999;236784,1;11,3877076990001;47,265077622
8127;Innrain;55;Spitzahorn;Acer platanoides;;78908,4740000004;235610,227;11,3754870310001;47,254630348
8128;Köldererstraße;7;Säulenahorn;Acer platanoides 'Columnare';13.11.2007;82047,8899999997;236334,550000001;11,417087258;47,260760609
8129;Reimmichlgasse;5;Japanische Nelkenkirsche;Prunus serrulata 'Kanzan';;78370,2000000002;236460,92;11,3685257480001;47,2623451100001
8130;Schmelzergasse;4;Kegelscheinakazie;Robinia pseudoacacia 'Bessoniana';;80276,1100000003;237797,73;11,3939437020001;47,27413763
8131;Stadtpark Rapoldi;185;Blutbuche;Fagus sylvatica 'Purpurea';;81175,8499999996;236952,09;11,4056792630001;47,266422322
8132;Villa Blanka;33;Japanischer Schnurbaum;Sophora japonica;;80505,1500000004;238374,779999999;11,397073881;47,279299139
8133;Villa Blanka;107;Pflaume;Prunus domestica;23.06.2016;80695,0026000002;238613,2597;11,3996257420001;47,2814205590001
8134;Finkenbergweg;2;Gemeine Esche;Fraxinus excelsior;;82546,7090999996;239281,896400001;11,4242199660001;47,287203913
8135;Finkenbergweg;3;Gemeine Esche;Fraxinus excelsior;;82571,8991999999;239284,9395;11,424553459;47,2872281180001
8136;Finkenbergweg;4;Gemeine Esche;Fraxinus excelsior;;82576,3874000004;239285,2925;11,4246128430001;47,287230729
8137;Finkenbergweg;5;Gemeine Esche;Fraxinus excelsior;;82579,6242000004;239285,214500001;11,4246556090001;47,2872296210001
8138;Hans-Flöckinger-Promenade;130;Mährische Eberesche;Sorbus aucuparia 'Edulis';13.04.2016;78914,5488999998;235855,2019;11,3756103900001;47,256832735
8139;Stadtpark Rapoldi;70;Blutpflaume;Prunus cerasifera 'Nigra';13.04.2016;81277,5948000001;236836,9648;11,4070025980001;47,265374433
8140;Volksschule Pradl-Leitgeb I/II;3;Fichte;Picea abies;;81295,2860000003;237066,823999999;11,4072780270001;47,2674393990001
8141;Mariahilfstraße;1;Roßkastanie;Aesculus hippocastanum;19.11.2012;79991,9642000003;237177,698100001;11,3900783870001;47,2685961820001
8142;Scheuchenstuelgasse;1;Silberweide;Salix alba;;78518,983;236692,2532;11,3705318170001;47,2644078170001
8143;Scheuchenstuelgasse;2;Silberweide;Salix alba;;78517,9298;236698,7194;11,3705190360001;47,2644660940001
8144;Amraser Straße - Mitte;72;Säulenkirsche;Prunus serrulata 'Amanogawa';20.11.2013;81225,6719000004;236712,0229;11,4062939770001;47,2642572230001
8145;Egerdachstraße - Spielplatz;17;Götterbaum;Ailanthus altissima;27.04.2011;82212,1809999999;237169,506899999;11,4194107590001;47,2682489540001
8146;Schmelzergasse;11;Kegelscheinakazie;Robinia pseudoacacia 'Bessoniana';25.11.2011;80246,3600000003;237818,300000001;11,3935542820001;47,274326247
8147;Sillmündung - West;108;Trauerweide;Salix alba 'Tristis';15.09.2011;81992,7674000002;238272,0397;11,4167136840001;47,27819149
8148;Matthias-Schmid-Straße;38;Gefülltblühende Roßkastanie;Aesculus hippocastanum 'Baumannii';15.09.2011;81877,5779999997;238123,653999999;11,4151643770001;47,2768713900001
8149;Appellplatz O-Dorf;30;Baummagnolie;Magnolia kobus;13.04.2011;84041,1191999996;237486,2479;11,443634058;47,270866416
8150;Weiherburggasse 37;11;Säulenahorn;Acer platanoides 'Columnare';20.04.2011;80614,6053999998;238608,0437;11,3985623200001;47,281383507
8151;Franz-Gschnitzer-Promenade;153;Nichtfruchtende Esche;Fraxinus excelsior 'Westhof's Glorie';20.04.2011;79335,7433000002;236323,551999999;11,3812569930001;47,260994096
8152;Maria-Theresien-Straße;2;Säulenahorn;Acer platanoides 'Columnare';30.05.2011;80352,5714999996;236676,1425;11,3947528800001;47,264041692
8153;Maria-Theresien-Straße;4;Säulenahorn;Acer platanoides 'Columnare';30.05.2011;80363,3854999999;236672,8375;11,3948951520001;47,26401065
8154;Siebererstraße;30;Spitzahorn 'Deborah';Acer platanoides 'Deborah';19.11.2012;80976,8099999996;237627,939999999;11,4031717730001;47,2725248420001
8155;Sonnenhang;6;Gefülltblühende Vogelkirsche;Prunus avium 'Plena';13.10.2013;78710,5641999999;236827,5536;11,3730866160001;47,265601727
8156;Sonnenhang;7;Gefülltblühende Vogelkirsche;Prunus avium 'Plena';13.10.2013;78717,3110999996;236828,2018;11,373175867;47,2656067490001
8157;Sonnenhang;8;Österreichische Schwarzkiefer;Pinus nigra 'Austriaca';13.10.2013;78698,0493999999;236803,079600001;11,3729169780001;47,265383123
8158;Wilten;1;Winterlinde;Tilia cordata;;79744,1103999997;236090,012800001;11,386610137;47,2588445010001
8159;Eckenried;1;Sandbirke;Betula pendula;;81144,2089;238990,298699999;11,4056305220001;47,2847560590001
8160;Tiergartenstraße;11;Blutpflaume;Prunus cerasifera 'Nigra';01.01.1994;78087,1799999997;235970,460000001;11,3647013890001;47,257967906
8161;Kurpark - Igls;177;Europäische Lärche;Larix decidua;;81554,7199999997;232654,77;11,409903403;47,2277290870001
8162;Kurpark - Igls;189;Fichte;Picea abies;;81536,75;232666,02;11,4096682050001;47,227832483
8163;Grünbacher-Promenade;62;Trauerweide;Salix alba 'Tristis';;83317,9500000002;237762,279999999;11,4341304390001;47,2734407340001
8164;Grünbacher-Promenade;159;Roßkastanie;Aesculus hippocastanum;;83599,5599999996;237641,550000001;11,4378288920001;47,2723192910001
8165;Grünbacher-Promenade;168;Pyramidenhainbuche;Carpinus betulus 'Fastigiata';;83602,6699999999;237601,960000001;11,4378625950001;47,2719628620001
8166;Grünbacher-Promenade;174;Silberahorn;Acer saccharinum;;83623,5499999998;237597,140000001;11,43813758;47,2719168630001
8167;Grünbacher-Promenade;386;Zitterpappel;Populus tremula;;84021,4800000004;237353,279999999;11,4433496320001;47,269673143
8168;Grünbacher-Promenade;75;Gemeine Esche;Fraxinus excelsior;;83397,5700000003;237726,880000001;11,4351758880001;47,273112295
8169;Grünbacher-Promenade;485;Kugelahorn;Acer platanoides 'Globosum';;84313,4699999997;237229,710000001;11,4471842300001;47,2685245360001
8170;Arthur-Haidl-Promenade;313;Schwarzpappel;Populus nigra;;79012,3568000002;235973,0811;11,3769231480001;47,2578811210001
8171;Kärntnerpark - Spiel- und Sportanlage;55;Platane;Platanus acerifolia;;81761,4809999997;237894,067;11,41358833;47,2748211300001
8172;Kärntnerpark;74;Winterlinde;Tilia cordata;;81938,6940000001;238118,948000001;11,415971116;47,2768214610001
8173;Wilten;72;Scheinzypresse;Chamaecyparis lawsoniana;;79694,2187000001;236229,4563;11,3859758650001;47,260104584
8174;Hans-Flöckinger-Promenade;51;Blutpflaume;Prunus cerasifera 'Nigra';13.04.2016 16:50:24;78429,3184000002;235456,9296;11,3691311140001;47,2533089410001
8175;Herzog-Siegmund-Ufer;2;Stadtlinde;Tilia cordata 'Greenspire';15.06.2018;79964,0025000004;237053,3006;11,3896867480001;47,2674808510001
8176;Herzog-Siegmund-Ufer;1;Stadtlinde;Tilia cordata 'Greenspire';15.06.2018;79971,6952;237058,966700001;11,389789395;47,2675308730001
8177;Kranebitter Allee;206;Winterlinde 'Roelvo';Tilia cordata 'Roelvo';29.11.2018;76570,8764000004;236473,2411;11,3447572140001;47,262667621
8178;Grünbacher-Promenade;512;Rotbuche;Fagus sylvatica;22.09.2014;83757,7571999999;237529,5177;11,439898198;47,2712916670001
8179;Grünbacher-Promenade;513;Rotbuche;Fagus sylvatica;22.09.2014;83758,5193999996;237537,9044;11,4399098370001;47,2713669920001
8180;Friedhof Mühlau;7;Smaragdthuje;Thuja occidentalis 'Smaragd';;81820,0909000002;238883,044600001;11,4145435040001;47,2837077980001
8181;Friedhof Mühlau;9;Scheinzypresse;Chamaecyparis lawsoniana;;81834,2582;238880,558700001;11,414730283;47,2836836800001
8182;Roßaupromenade;250;Spitzahorn;Acer platanoides;01.05.1983;83974,2648;237252,1482;11,4427068530001;47,2687696900001
8183;Pradler Straße;9;Bergahorn;Acer pseudoplatanus;;81446,4409999996;237041,828299999;11,409270527;47,2671959240001
